building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,14.016700032821738,6.367649105047397,6.5326690673828125,11.703109741210938
10009,11.009526472054477,5.809445157918571,5.068206787109375,22.751998901367188
10014,14.744169941950123,7.037733284673848,14.339828491210938,19.7906494140625
10019,14.736513641012055,7.029761228993693,14.306259155273438,19.846343994140625
10029,10.62249935134316,6.312467118095018,1.8268585205078125,7.4565887451171875
10031,12.518494325257528,6.276190781197078,6.235504150390625,17.1783447265625
10051,13.290568693587788,5.999000745442376,5.396270751953125,13.055801391601562
10053,11.374291120694336,6.2590249804700955,3.45458984375,12.530517578125
10056,14.221562289471542,6.1794045077543185,6.7241668701171875,12.075424194335938
10064,12.72599502643966,6.964210990335867,11.309814453125,24.594879150390625
